No,Unit,Channel,Year,Month,Views Cummulative,Engaged views,Watch time (hours),Subscribers,Average view duration,Average percentage viewed (%),Videos published,Impressions,Impressions click-through rate (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Shares,Comments added,Revenue Cummulative (IDR),Transaction revenue (IDR),Transactions,YouTube Premium (IDR),Watch Page ads (IDR),YouTube ad revenue (IDR),Ad impressions,CPM (IDR),Estimated monetized playbacks,RPM (IDR),Product clicks,Product impressions,Total sales (IDR),Orders,YouTube Premium views,YouTube Premium watch time (hours),Hours streamed,Reminders set,Chat messages,Reactions,Remix count,Remix views,Community clip views,Watch time from community clips (hours),Card clicks,Cards shown,End screen element clicks,End screen elements shown, Total members, Active members, Members gained, Members lost, Canceled memberships, Exit surveys, Average membership tenure (days), Churn rate (%),Lifetime Subscriber/Followers,New Subscribers/Followers,Views Fresh Content, Revenue Fresh Content (IDR), Revenue Fresh Content (USD),"View
 Male (%)","View
 Female (%)","View
 Other (%)",13 - 17 Years,18 - 24 Years,25 - 34 Years,35 - 44 Years,45 - 54 Years,55 - 64 Years,65+ Years
203,iNews,iNews Jateng,2025,November,"366,791","366,272","22,988",543,00:03:45,13,143,"3,020,311",10,"291,828","178,541","113,241","111,150","2,091",820,277,"1,517",58,617,"1,613","1,259,564",0,0,"95,290","1,164,112","2,117,616","235,764","8,982","178,391","3,439",0,0,0,0,"5,518",676,467,24,14,0,,,0,0,0,0,0,0,,,,,,,,,"302,120",543,"281,687","  808,180 ",  48 ,74.60%,25.40%,0%,0.80%,5.00%,27.80%,26.20%,20.00%,13.90%,6.40%
204,iNews,iNews Jateng,2025,December,"603,585","603,123","37,871",635,00:03:46,31,158,"5,618,727",9,"456,723","251,181","205,522","201,461","4,061",957,322,"2,306",221,667,"4,683","2,431,506",0,0,"74,065","2,357,209","4,288,659","513,990","8,344","425,090","4,032",0,0,0,0,"8,476",548,1,1,48,2,,,0,0,0,1,0,0,,,,,,,,,"302,755",635,"536,405","  2,214,930 ",  130 ,82.00%,18.00%,0%,1.00%,4.40%,25.20%,26.30%,21.70%,15.30%,6.00%
205,iNews,iNews Jateng,2026,January,"697,892","674,772","62,215","1,126",00:05:31,28,245,"5,636,430",8,"503,723","267,642","236,232","230,354","5,878","1,502",376,"4,246",235,961,"3,638","2,928,631",0,0,"154,258","2,681,216","4,877,330","570,813","8,545","408,829","4,219",0,4,0,0,"11,680","1,176",4,0,16,3,,,0,0,0,0,0,1,,,,,,,,,"303,881","1,126","631,943","  2,747,257 ",,78.60%,21.40%,0.00%,0.90%,4.40%,24.60%,22.90%,20.50%,17.80%,9.00%
206,iNews,iNews Jateng,2026,February,"782,379","761,989","50,305","1,052",00:03:57,12,349,"5,337,496",11,"563,803","323,699","240,605","233,035","7,570","1,415",363,"5,136",252,"1,138","2,729","3,059,062",0,0,"104,716","2,944,305","5,354,084","602,163","8,891","450,143","4,014",0,0,0,0,"9,900",761,26,9,"1,445","1,036",0,0,0,0,0,0,1,3,,,,,,,,,"304,933","1,052","655,807","  2,719,398 ",,74.40%,25.60%,0.00%,1.10%,5.50%,27.90%,22.30%,19.00%,15.80%,8.30%
207,iNews,iNews Jateng,2026,March,"1,756,415","1,754,947","116,366","3,184",00:03:58,15,347,"11,857,540",13,"1,383,989","891,350","457,400","446,107","11,293","3,768",584,"11,084",460,"1,568","5,929","8,478,697",0,0,"280,738","8,197,504","14,905,889","1,610,688","9,254","1,220,781","4,866",0,0,0,0,"30,047","2,282",47,40,610,150,0,0,0,0,0,0,0,0,,,,,,,,,"308,116","3,184","1,695,537","  8,305,308 ",,79.30%,20.70%,0.10%,1.20%,5.40%,27.20%,25.80%,21.60%,13.30%,5.50%
208,iNews,iNews Jateng,2026,April,"855,250","854,223","62,971","1,355",00:04:25,20,179,"6,261,087",11,"668,356","336,721","281,201","270,605","10,596","1,808",453,"4,677",261,"1,222","3,102","3,914,660",0,0,"157,722","3,756,576","6,810,530","681,933","9,987","505,223","4,567",0,13,0,0,"11,331","1,159",9,-5,13,8,0,0,0,0,0,1,0,0,,,,,,,,,"309,472","1,355","745,753","  3,554,569 ",,78.30%,21.70%,0%,1.30%,5.60%,26.90%,22.40%,19.70%,15.80%,8.30%
209,iNews,iNews Jateng,2026,May,"826,177","825,120","74,622","1,190",00:05:25,12,428,"7,296,900",9,"581,685","280,471","259,412","244,232","15,180","1,520",330,"3,984",266,"1,084","2,890","4,761,919",0,0,"181,769","4,579,671","8,297,465","804,406","10,315","568,595","5,780",0,0,0,0,"11,270","1,452",44,15,"1,852",170,,5,0,0,0,2,0,0,,,,,,,,,"310,662","1,190","700,453","  4,301,651 ",,79.90%,20.10%,0.00%,1.20%,5.90%,28.30%,21.90%,18.50%,15.60%,8.60%
210,iNews,iNews Jateng,2026,June,"1,414,761","1,404,385","168,478","1,810",00:07:11,8,482,"12,641,983",9,"926,249","427,314","458,366","429,391","28,975","2,299",489,"7,180",592,"1,880","5,829","9,769,403",0,0,"556,978","9,209,163","16,731,665","1,534,772","10,902","998,292","7,097",0,3,0,0,"19,642","4,300",50,24,"2,263",711,,,0,0,0,0,0,0,,,,,,,,,"312,472","1,810","1,303,202","  9,246,691 ",,80.10%,19.90%,0.00%,0.90%,5.20%,28.50%,24.20%,19.00%,14.70%,7.50%
211,iNews,iNews Jateng,2026,July,"2,400,625","2,397,049","221,702","3,055",00:05:32,9,"1,015","18,574,934",11,"1,470,791","596,634","775,653","711,157","64,496","3,604",549,"10,936",859,"2,035","7,516","14,965,892",0,0,"770,901","14,194,195","25,806,433","2,398,398","10,760","1,740,366","6,257",0,0,0,0,"40,890","5,875",124,130,"13,544","2,334",,,0,0,0,0,0,0,,,,,,,,,"315,527","3,055","2,255,854","  14,225,298 ",,79.60%,20.40%,0.00%,0.80%,4.40%,24.70%,21.60%,20.10%,18.50%,
212,iNews,iNews Jateng,2026,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,iNews,iNews Jateng,2026,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,iNews,iNews Jateng,2026,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,iNews,iNews Jateng,2026,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,iNews,iNews Jateng,2026,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,iNews,iNews Jatim Official,2024,January,"90,589","90,589","10,734",570,00:07:06,33,39,"1,402,973",5,"60,719","48,921","11,798","11,798",0,733,163,646,24,404,22,"557,233",0,0,"4,345","552,888","1,005,248","124,401","8,081","98,749","6,151",0,0,0,0,519,61,,0,,,,,0,0,0,0,122,"14,735",,,,,,,,,"94,349",570,,  -   ,,,,,,,,,,,
218,iNews,iNews Jatim Official,2024,February,"64,969","64,969","6,828",309,00:06:18,30,28,"998,876",5,"39,631","30,900","8,694","8,694",0,473,164,465,20,299,11,"436,572",0,0,"3,779","432,793","786,895","87,651","8,978","66,479","6,720",0,0,0,0,443,46,,0,,,,,1,0,0,0,54,"7,655",,,,,,,,,"94,658",309,,  -   ,,,,,,,,,,,
219,iNews,iNews Jatim Official,2024,March,"100,172","100,172","11,129",620,00:06:39,32,42,"1,402,772",5,"62,299","50,299","12,000","12,000",0,755,135,976,42,493,132,"868,609",0,0,"5,050","863,559","1,570,103","161,799","9,704","116,421","8,671",0,0,0,0,"2,220",71,,0,,,,1,9,0,0,0,98,"13,217",,,,,,,,,"95,278",620,,  -   ,,,,,,,,,,,
220,iNews,iNews Jatim Official,2024,April,"77,198","77,198","8,689",404,00:06:45,32,36,"1,192,847",5,"47,334","37,105","10,229","10,229",0,545,141,412,40,289,28,"565,592",0,0,"5,019","560,573","1,019,224","108,283","9,413","82,273","7,327",0,0,0,0,881,60,,0,,,,,3,0,0,0,66,"9,262",,,,,,,,,"95,682",404,,  -   ,,,,,,,,,,,
221,iNews,iNews Jatim Official,2024,May,"90,354","90,354","10,269",471,00:06:49,33,10,"1,275,046",6,"57,366","45,535","11,831","11,831",0,628,157,504,26,339,25,"585,821",0,0,"3,938","581,773","1,057,768","121,148","8,731","95,751","6,484",0,0,0,0,404,47,,0,,,,,0,0,0,0,86,"11,280",,,,,,,,,"96,153",471,,  -   ,,,,,,,,,,,
222,iNews,iNews Jatim Official,2024,June,"83,412","83,412","9,984",510,00:07:10,33,19,"1,301,943",5,"55,076","43,961","11,115","11,115",0,677,167,468,25,333,31,"706,209",0,0,"4,411","701,783","1,275,970","133,895","9,530","99,203","8,467",0,0,0,0,422,51,,0,,,1,414,0,0,0,0,78,"11,572",,,,,,,,,"96,663",510,,  -   ,,,,,,,,,,,
223,iNews,iNews Jatim Official,2024,July,"104,459","104,459","12,428",660,00:07:08,32,19,"1,604,772",5,"69,883","57,042","12,841","12,841",0,888,228,584,56,426,26,"868,831",0,0,"4,149","864,681","1,572,148","168,939","9,306","124,538","8,317",0,0,0,0,487,54,,0,,,,2,1,0,0,0,113,"16,104",,,,,,,,,"97,323",660,,  -   ,,,,,,,,,,,
224,iNews,iNews Jatim Official,2024,August,"89,533","89,533","9,673",481,00:06:28,31,12,"1,320,580",5,"54,631","43,282","11,349","11,349",0,669,188,372,41,458,18,"682,064",0,0,"2,983","679,067","1,234,670","132,202","9,339","98,324","7,618",0,0,0,0,"1,091",43,,0,,,,2,0,0,0,0,75,"11,711",,,,,,,,,"97,804",481,,  -   ,,,,,,,,,,,
225,iNews,iNews Jatim Official,2024,September,"89,921","89,921","10,406",570,00:06:56,32,18,"1,315,086",5,"58,604","46,022","12,582","12,582",0,716,146,441,39,367,38,"701,595",0,0,"2,337","699,251","1,272,204","146,136","8,706","107,960","7,802",0,0,0,0,557,37,,0,,,2,727,1,0,0,0,101,"13,274",,,,,,,,,"98,374",570,,  -   ,,,,,,,,,,,
226,iNews,iNews Jatim Official,2024,October,"104,960","104,960","12,005",538,00:06:51,33,,"1,460,575",5,"62,228","49,138","13,090","13,090",0,691,153,532,56,466,15,"725,573",0,0,"5,523","720,037","1,309,157","138,688","9,440","108,509","6,913",0,0,0,0,466,52,,0,,,,16,2,0,0,0,84,"14,328",,,,,,,,,"98,912",538,,  -   ,,,,,,,,,,,
227,iNews,iNews Jatim Official,2024,November,"112,707","112,707","13,563",629,00:07:13,33,18,"1,617,467",5,"68,015","53,266","14,749","14,749",0,779,150,522,48,333,18,"886,945",0,0,"5,810","881,124","1,602,044","161,398","9,926","124,599","7,869",0,0,0,0,503,59,,0,,,2,246,0,0,0,0,99,"15,912",,,,,,,,,"99,541",629,,  -   ,,,,,,,,,,,
228,iNews,iNews Jatim Official,2024,December,"113,548","113,548","13,249",544,00:07:00,33,36,"1,526,691",5,"67,343","52,309","15,034","15,034",0,729,185,481,56,315,26,"864,766",0,0,"6,817","857,940","1,559,891","157,851","9,882","121,867","7,616",0,0,0,0,689,76,,0,,,2,"2,529",6,0,0,0,89,"14,168",,,,,,,,,"100,085",544,,  -   ,,,,,,,,,,,
229,iNews,iNews Jatim Official,2025,January,"110,830","110,830","12,614",554,00:06:49,31,48,"1,508,725",5,"65,254","49,795","15,459","15,459",0,731,177,438,55,347,29,"661,517",0,0,"4,763","656,747","1,197,710","131,992","9,074","109,712","5,969",0,0,0,0,506,62,,0,,,2,"1,098",0,0,0,0,95,"14,543",,,,,,,,,"100,639",554,"6,245","  32,640 ",  2 ,,,,,,,,,,
230,iNews,iNews Jatim Official,2025,February,"95,311","95,311","10,564",450,00:06:39,30,44,"1,156,233",5,"54,020","40,648","13,372","13,372",0,558,108,334,32,360,14,"667,203",0,0,"4,239","662,958","1,205,378","120,452","10,007","94,303","7,000",0,0,0,0,428,49,,0,,,1,544,0,0,0,0,87,"12,135",,,,,,,,,"101,089",450,"4,353","  21,590 ",  1 ,,,,,,,,,,
231,iNews,iNews Jatim Official,2025,March,"186,180","186,180","18,179",894,00:05:51,30,169,"2,056,412",6,"102,391","84,142","18,586","18,084",502,"1,160",266,"1,226",72,561,65,"1,352,293",0,0,"8,256","1,344,008","2,443,652","238,512","10,245","182,205","7,263",0,0,0,0,977,110,,0,,,,97,0,0,0,0,120,"17,368",,,,,,,,,"101,983",894,"45,704","  218,450 ",  13 ,,,,,,,,,,
232,iNews,iNews Jatim Official,2025,April,"98,434","98,425","10,234",418,00:06:14,30,29,"919,371",6,"46,777","33,201","14,035","13,139",896,627,209,326,36,299,32,"537,853",0,0,"4,607","533,238","969,523","107,888","8,986","87,003","5,465",0,0,0,0,414,42,,0,,,1,"1,025",0,0,0,0,45,"7,875",,,,,,,,,"102,401",418,"2,518","  11,390 ",  1 ,,,,,,,,,,
233,iNews,iNews Jatim Official,2025,May,"100,713","100,713","11,708",446,00:06:58,34,34,"1,063,595",6,"48,085","31,873","16,212","15,146","1,066",645,199,394,43,315,105,"623,961",0,0,"5,431","618,530","1,124,600","124,194","9,055","97,258","6,195",0,0,0,0,436,48,,0,,,2,"1,552",16,0,0,0,43,"6,894",,,,,,,,,"102,847",446,"3,146","  15,130 ",  1 ,,,,,,,,,,
234,iNews,iNews Jatim Official,2025,June,"112,556","112,556","14,086",435,00:07:30,36,,"1,146,244",6,"54,895","36,881","18,014","16,921","1,093",589,154,345,44,278,32,"746,374",0,0,"7,047","739,327","1,344,233","147,028","9,143","110,590","6,631",0,0,0,0,562,71,,0,,,2,881,0,0,0,0,45,"7,609",,,,,,,,,"103,282",435,0,  -   ,  -   ,,,,,,,,,,
235,iNews,iNews Jatim Official,2025,July,"152,659","152,657","16,040",586,00:06:18,33,32,"1,621,622",6,"92,314","74,745","17,569","16,443","1,126",784,198,622,71,298,283,"849,673",0,0,"9,924","839,748","1,526,817","169,970","8,983","132,605","5,566",0,0,0,0,886,96,,0,,,,353,0,0,0,0,68,"10,733",,,,,,,,,"103,868",586,"35,857","  82,790 ",  5 ,58.90%,41.10%,,1.70%,12.20%,27.90%,20.00%,19.60%,13.30%,5.30%
236,iNews,iNews Jatim Official,2025,August,"227,453","226,057","16,996",751,00:04:30,22,138,"2,295,186",7,"160,171","141,770","18,401","17,318","1,083",960,209,920,88,425,802,"949,986",0,0,"14,520","934,732","1,699,339","188,681","9,006","151,128","4,202",0,0,0,0,"2,020",123,10,0,42,6,3,"1,787",0,0,0,0,47,"9,758",,,,,,,,,"104,462",751,"127,652","  335,580 ",  20 ,67.60%,32.40%,0%,1.30%,8.00%,26.60%,21.60%,20.50%,15.00%,7.00%
237,iNews,iNews Jatim Official,2025,September,"1,083,699","1,072,784","125,605","4,455",00:07:01,26,282,"9,700,576",9,"779,698","713,790","65,908","64,859","1,049","4,856",401,"7,061",311,"1,847","4,880","8,326,327","13,824",1,"719,208","7,589,503","13,799,459","1,182,054","11,674","731,799","7,761",0,0,0,0,"23,340","4,801",554,21,"3,770","1,365",,185,0,0,0,0,98,"19,825",,,,,,,,,"108,882","4,455","835,524","  6,085,150 ",  358 ,75.90%,24.00%,0%,0.90%,6.00%,27.20%,24.30%,20.40%,14.30%,6.80%
238,iNews,iNews Jatim Official,2025,October,"784,615","752,762","63,198","2,627",00:05:02,17,304,"6,597,057",9,"552,849","432,407","120,442","119,305","1,137","2,943",316,"4,764",263,"1,010","3,071","3,490,079",0,0,"215,132","3,261,708","5,930,782","657,827","9,016","470,902","4,636",0,0,0,0,"10,295","1,606",804,27,458,64,,92,0,0,0,0,51,"10,073",,,,,,,,,"111,509","2,627","501,396","  1,331,950 ",  78 ,71.10%,28.90%,0%,1.30%,7.00%,29.80%,24.10%,17.80%,13.30%,6.70%
239,iNews,iNews Jatim Official,2025,November,"745,601","745,474","57,641","2,122",00:04:38,29,142,"6,636,917",9,"566,941","410,177","157,545","156,342","1,203","2,418",296,"4,827",223,"1,438","4,489","4,034,764",0,0,"122,569","3,912,146","7,113,005","807,045","8,814","621,868","5,412",0,0,0,0,"11,036",893,458,-6,3,0,,53,0,0,0,0,59,"10,867",,,,,,,,,"113,631","2,122","481,574","  2,085,050 ",  123 ,76.40%,23.60%,0%,1.10%,5.80%,26.30%,22.10%,19.30%,16.70%,8.80%
240,iNews,iNews Jatim Official,2025,December,"1,099,658","1,099,543","88,371","3,089",00:04:49,25,167,"9,180,086",10,"830,145","579,386","250,384","248,707","1,677","3,437",348,"5,956",389,"1,382","5,526","6,695,650",0,0,"126,733","6,568,864","11,943,390","1,295,691","9,218","1,001,858","6,089",0,0,0,0,"11,191","1,004",2,1,0,0,,80,0,0,0,0,58,"9,448",,,,,,,,,"116,719","3,088","624,274","  2,714,050 ",  160 ,77.50%,22.50%,0%,1.20%,5.70%,25.70%,20.00%,18.30%,18.10%,11.10%
241,iNews,iNews Jatim Official,2026,January,"884,819","870,597","135,709","2,228",00:09:21,20,226,"7,433,502",8,"632,099","410,466","221,537","218,881","2,656","2,575",347,"5,052",424,"1,016","2,297","6,873,173",0,0,"268,874","6,413,211","11,665,192","1,215,243","9,599","773,082","7,682",0,0,0,0,"9,302","2,190",177,1,132,509,1,836,0,0,0,0,90,"15,324",,,,,,,,,"118,947","2,227","427,229","  3,309,055 ",,76.30%,23.70%,0%,1.30%,6.30%,27.80%,20.50%,17.60%,16.30%,10.20%
242,iNews,iNews Jatim Official,2026,February,"1,272,442","1,248,142","177,635","2,787",00:08:32,15,339,"9,654,740",10,"862,048","497,382","363,286","356,633","6,653","3,292",505,"8,317",633,"1,528","5,608","9,020,143",0,0,"353,047","8,657,022","15,737,949","1,715,479","9,174","1,148,845","7,226",0,0,0,0,"14,681","2,624",174,5,547,"1,499",0,159,0,0,0,0,85,"18,937",,,,,,,,,"121,735","2,787","870,894","  5,728,900 ",,76.30%,23.70%,0.00%,1.10%,5.90%,26.10%,19.30%,18.40%,18.00%,11.10%
243,iNews,iNews Jatim Official,2026,March,"2,340,034","2,339,530","216,548","5,350",00:05:33,5,310,"20,532,971",9,"1,748,759","1,161,942","530,802","522,195","8,607","5,998",648,"15,865",679,"2,386","8,615","16,306,537",0,0,"764,455","15,541,889","28,205,548","2,688,808","10,490","1,843,711","7,004",0,0,0,0,"44,301","5,709",387,-5,"22,742","4,279",1,133,0,0,0,0,78,"18,182",,,,,,,,,"127,085","5,350","1,919,847","  11,559,882 ",,77.00%,22.90%,0.10%,1.30%,5.90%,27.00%,24.50%,20.80%,13.90%,6.60%
244,iNews,iNews Jatim Official,2026,April,"2,187,752","2,187,340","264,749","5,067",00:07:15,25,176,"16,081,273",10,"1,512,920","797,563","628,080","611,424","16,656","5,823",756,"15,654","1,023","2,085","9,618","14,279,755",0,0,"583,417","13,696,198","24,851,387","2,401,104","10,350","1,732,800","6,245",0,0,0,0,"27,937","4,595",0,0,0,0,0,99,0,0,0,0,47,"13,341",,,,,,,,,"132,152","5,067","1,883,774","  12,217,217 ",,77.80%,22.20%,0.10%,1.40%,6.10%,26.20%,19.80%,18.60%,17.00%,10.80%
245,iNews,iNews Jatim Official,2026,May,"3,395,176","3,394,932","576,695","5,399",00:10:11,14,413,"27,035,997",9,"1,790,297","807,192","912,021","866,494","45,527","6,347",948,"16,759","1,445","2,071","15,856","26,620,454",0,0,"1,424,296","25,195,986","45,649,882","4,270,164","10,690","2,891,462","7,820",0,0,0,0,"50,323","11,268",526,17,376,910,2,270,0,0,0,0,34,"10,006",,,,,,,,,"137,551","5,399","2,691,169","  18,056,677 ",,78.10%,21.90%,0.10%,1.10%,5.20%,26.10%,20.80%,18.60%,17.50%,10.70%
246,iNews,iNews Jatim Official,2026,June,"2,281,692","2,280,360","279,365","3,561",00:07:20,19,460,"20,795,011",9,"1,576,804","712,345","760,241","706,418","53,823","4,225",664,"12,165","1,074","2,456","11,968","17,341,669",0,0,"787,646","16,553,345","30,082,095","2,692,076","11,174","1,939,195","7,600",0,0,0,0,"42,355","6,147",118,3,45,2,1,"1,274",0,0,0,0,19,"7,302",,,,,,,,,"141,112","3,561","1,718,418","  12,480,073 ",,78.70%,21.20%,0.10%,1.00%,6.00%,29.70%,22.20%,17.30%,14.80%,9.10%
247,iNews,iNews Jatim Official,2026,July,"4,866,457","4,861,908","596,598","9,181",00:07:21,21,963,"39,439,443",10,"2,839,068","1,073,847","1,516,065","1,387,713","128,352","10,242","1,061","30,467","2,188","7,135","22,524","35,700,799",0,0,"1,963,246","33,737,224","61,339,165","5,607,625","10,939","4,084,586","7,289",0,0,0,0,"97,363","14,245",683,2,"5,138",225,,29,0,0,0,0,39,"9,331",,,,,,,,,"150,293","9,181","4,274,323","  30,123,620 ",,77.70%,22.30%,0.10%,1.00%,4.70%,24.60%,19.70%,18.40%,18.70%,
248,iNews,iNews Jatim Official,2026,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,iNews,iNews Jatim Official,2026,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,iNews,iNews Jatim Official,2026,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,iNews,iNews Jatim Official,2026,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,iNews,iNews Jatim Official,2026,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,iNews,iNews Premium Sport,2024,January,"58,592","58,592","2,040",63,00:02:05,47,7,"405,958",10,"37,621","29,205","8,416","8,416",0,344,281,104,-21,37,24,"107,899",0,0,"1,081","106,536","193,698","24,724","7,834","21,871","1,842",0,0,0,0,564,14,,0,,,,,0,0,0,0,16,"1,342",,,,,,,,,"412,846",63,,  -   ,,,,,,,,,,,
254,iNews,iNews Premium Sport,2024,February,"106,018","106,018","5,195",161,00:02:56,46,9,"1,265,128",6,"85,832","74,912","10,897","10,897",0,492,331,336,69,68,525,"388,682",0,0,"5,995","381,234","693,150","78,281","8,855","64,542","3,666",0,0,0,0,"1,068",54,,0,,,,,0,0,0,0,22,"11,912",,,,,,,,,"413,007",161,,  -   ,,,,,,,,,,,
255,iNews,iNews Premium Sport,2024,March,"94,941","94,941","3,073",169,00:01:56,47,6,"695,669",10,"71,467","60,366","11,101","11,101",0,434,265,243,-10,47,77,"272,524",0,0,"2,494","269,408","489,830","59,557","8,225","52,621","2,870",0,0,0,0,867,24,,0,,,,,0,0,0,0,17,"3,275",,,,,,,,,"413,176",169,,  -   ,,,,,,,,,,,
256,iNews,iNews Premium Sport,2024,April,"69,791","69,791","2,353",100,00:02:01,45,1,"522,926",9,"47,897","38,814","9,083","9,083",0,357,257,146,-2,33,21,"163,002",0,0,"2,468","160,417","291,669","35,897","8,125","32,464","2,336",0,0,0,0,757,22,,0,,,,,0,0,0,0,17,"5,318",,,,,,,,,"413,276",100,,  -   ,,,,,,,,,,,
257,iNews,iNews Premium Sport,2024,May,"229,174","229,174","14,039",705,00:03:40,47,3,"2,387,959",8,"186,395","162,973","23,422","23,422",0,"1,063",358,"1,099",222,182,"1,783","855,864",0,0,"17,293","837,595","1,522,902","148,121","10,281","125,321","3,735",0,0,0,0,"2,618",163,,0,,,,,0,0,0,0,37,"37,007",,,,,,,,,"413,981",705,,  -   ,,,,,,,,,,,
258,iNews,iNews Premium Sport,2024,June,"106,604","106,604","4,231",321,00:02:22,43,,"949,929",9,"74,473","59,447","15,026","15,026",0,638,317,381,-19,59,110,"280,868",0,0,"4,424","276,416","502,574","56,974","8,821","51,836","2,635",0,0,0,0,"1,038",41,,0,,,,,2,0,0,0,18,"8,033",,,,,,,,,"414,302",321,,  -   ,,,,,,,,,,,
259,iNews,iNews Premium Sport,2024,July,"120,622","120,622","4,651",258,00:02:18,42,,"1,046,931",9,"85,609","69,340","16,269","16,269",0,576,318,309,-12,89,155,"261,467",0,0,"3,792","257,643","468,444","64,081","7,310","58,734","2,168",0,0,0,0,"1,008",40,,0,,,,,0,0,2,20,24,"10,836",,,,,,,,,"414,560",258,,  -   ,,,,,,,,,,,
260,iNews,iNews Premium Sport,2024,August,"123,297","123,297","4,153",211,00:02:01,41,26,"1,123,342",7,"81,776","64,971","16,805","16,805",0,571,360,297,8,78,94,"258,836",0,0,"3,702","252,399","458,906","63,934","7,178","58,496","2,099",0,0,0,0,"1,260",40,,0,,,,49,0,0,8,40,16,"5,279",,,,,,,,,"414,771",211,,  -   ,,,,,,,,,,,
261,iNews,iNews Premium Sport,2024,September,"245,186","245,186","4,737",307,00:01:09,45,50,"1,273,295",7,"188,115","168,558","19,557","19,557",0,677,370,"1,934",102,98,82,"241,201",0,0,"4,485","209,039","380,071","55,367","6,865","50,540",984,0,0,0,0,"4,621",53,,0,,,,1,0,0,2,31,16,"3,387",,,,,,,,,"415,078",307,,  -   ,,,,,,,,,,,
262,iNews,iNews Premium Sport,2024,October,"97,029","97,029","2,865",174,00:01:46,34,23,"889,111",8,"69,838","57,530","12,308","12,308",0,447,273,371,-25,65,57,"151,289",0,0,"2,339","146,562","266,478","34,888","7,638","31,901","1,559",0,0,0,0,835,22,1,5,0,0,,1,1,0,0,2,17,"2,415",,,,,,,,,"415,252",174,,  -   ,,,,,,,,,,,
263,iNews,iNews Premium Sport,2024,November,"93,213","93,213","2,618",172,00:01:41,43,34,"792,408",8,"67,774","53,980","13,794","13,794",0,432,260,170,-28,39,27,"180,709",0,0,"2,763","174,342","316,984","42,023","7,543","37,759","1,939",1,482,0,0,851,20,,0,,,,,0,0,0,2,18,"4,683",,,,,,,,,"415,424",172,,  -   ,,,,,,,,,,,
264,iNews,iNews Premium Sport,2024,December,"172,836","172,836","3,483",370,00:01:12,44,157,"1,550,634",6,"136,066","122,293","13,773","13,773",0,674,304,"1,159",41,152,172,"313,084",0,0,"3,228","295,167","536,666","55,807","9,616","49,677","1,811",0,7,0,0,"1,610",27,,0,,,2,1,0,0,1,5,10,"1,911",,,,,,,,,"415,794",370,,  -   ,,,,,,,,,,,
265,iNews,iNews Premium Sport,2025,January,"91,812","91,812","2,140",122,00:01:23,41,129,"1,634,351",4,"70,593","59,976","10,617","10,617",0,405,283,395,-1,86,34,"139,137",0,0,"2,505","133,396","242,542","28,617","8,475","26,340","1,515",0,2,0,0,"1,483",30,,0,,,,,0,0,0,4,6,405,,,,,,,,,"415,916",122,"44,957","  72,420 ",  4 ,,,,,,,,,,
266,iNews,iNews Premium Sport,2025,February,"58,988","58,988","1,562",87,00:01:35,40,19,"994,596",5,"42,121","33,073","9,048","9,048",0,232,145,159,-5,34,55,"103,060",0,0,"2,087","100,160","182,109","21,589","8,435","19,579","1,747",6,221,0,0,631,16,,0,,,,,0,0,0,2,0,492,,,,,,,,,"416,003",87,"10,491","  14,790 ",  1 ,,,,,,,,,,
267,iNews,iNews Premium Sport,2025,March,"41,963","41,941","1,133",-116,00:01:37,34,0,"535,700",6,"25,654","19,415","6,255","5,878",377,245,361,-86,-31,16,18,"88,528",0,0,"1,392","86,848","157,905","18,940","8,337","17,216","2,111",0,10,0,0,341,10,,-6,,,,1,0,0,1,73,2,416,,,,,,,,,"415,887",-116,0,  -   ,  -   ,,,,,,,,,,
